Title,Authors,Co-authors,Editors,Illustrators,Publisher,Edition,Year,Volume,ISBN,ISBN13,ISSN,"Call No",Category,Subject,Type,Description,Tags,Series
"An Introduction to Social Housing","Paul Reeves",,,,Butterworth-Heinemann,,1996,,0340661976,9780340661970,,I3,Unknown,,Book,"Wide ranging in scope, this book is a comprehensive introduction to fundamental issues in housing, for students taking courses as diverse as urban geography and construction. It is non-technical in its approach and uses numerous articles to illustrate material covered. Each chapter discusses the essential aspects of the particular topic, then presents case studies as articles (most originally published in Public Service & Local Government Journal) for study. The chapter then rounds off with questions for consideration. <br><br>* Clearly structured introductory text is ideal for students learning the basics of housing<br>* Questions included at the end of each chapter help with consolidation of learning and understanding<br>* Comprehensive coverage of all the issues involved, from crime to tenant co-operatives. - from Amzon","Urban & Land Use Planning, Design & Construction, Housing & Urban Development, Study & Teaching, Construction, Urban Planning & Development, City Planning & Urban Development, Architecture, Public Policy",
"An Urban Experiment in Central Berlin: Planning Potsdamer Platz","Vittorio Magnago and Romana Schneider, eds. Lampugnani",,,,"Deutsches Architektur-Museum / Institut fur Auslandbeziehungen","First English Translation",1997,,,,,J1,Unknown,,Book,,,
"An urban quest for chlorophyll",,,"Jenny Gillam; Dieneke Jansen",,"Rim Books",,2013,,,9780473266431,,I2,,,Book,,,
"An Urbanizing World",,,,,"Institut für Auslands-beziehungen e.V",,,,,,,E2,,,Publication,,,
"Analisis anggaran negara: Prioritas, realisasi, dan strategi menuju transparansi","Bustanul Arifin",,,,"Forum Indonesia Untuk Transparansi Anggaran","Cet. 1",2017,,9799591171,9789799591173,,B2,Unknown,,Book,"Economic analysis on appropriation and expenditures, internal revenue, and budget policies of Indonesia. - from Amzon",,
"Ancaman Baru Rejim Global: Tinjauan atas Isu-isu Baru WTO","Bonnie Setiawan; Makmur Keliat; Syamsul Hadi; Akbar Meirio ; Christian Harijanto; Mesi Purnamasari; Rio Syahrial Jaslim",,,,"The Institute for Global Justice",,2003,,,,,C1,,,Book,,,
"Anggaran Negara yang Melibatkan Rakyat","Jamal Bake; Muhamad Abas",,,,"Forum Indonesia untuk Transparasi Anggaran",,2001,,979959118X,,,B1,,,Book,,,
"Anggaran Pro Rakyat Miskin: Panduan untuk Jurnalis",,,,,"Perkumpulan Prakarsa",,2010,,,9789799955326,,H2,,,Book,,,
"Archinesia: Architecture Network in Southeast Asia",,,,,"Imaji Media Pustaka",,,,,,,C2,Design,,Book,,,
"Archis: Architecture City Visual Culture",,,,,Archis,,,,,,,G3,Architecture,,Publication,,,
"ARCHIS: Architectuur Stedebouw Beeldende Kunst Architecture Urbanism Visual Arts",,,,,,,,,,,,F3,Architecture,,Book,,,
"Architectural Composition","Rob Krier",,,,"Academy Editions",1st,1991,,0856708038,9780856708039,,J1,Unknown,,Book,"<div>'It is my aim to rehabilitate an architecture that has become dishonoured and disgraced.'<br><br>Rob Krier is a unique voice in today's architectural discourse through his commitment to developing a relevant and pragmatic theory of architecture based on his own experience and observations of architectural practice and opposed to the easy, abstract theorising so common in contemporary architectural writing. Together with his brother Leon, he has perfected a form of presentation in which the potency of his thinking finds its perfect counterpoint in detailed drawings and sketches which argue his case visually through the power of example. Following the success of his widely acclaimed <i>Urban Space</i>, a work which looked at the problems of our cities from a historical, theoretical and practical standpoint, Krier now applies his particular, highly influential mode of didactic criticism to contemporary architecture in a continuing search for fundamental architectural truths.<br><br><i>Architectural Composition</i> is both a theortetical and visual analysis which clearly illustrates the creative process which informs Krier's vision and praxis. The culmination of a lifetime's thought and experience by one of Europe's most important architectural theorists, it is without doubt a major achievement and will become a standard work of reference for both students and practising architects.<br></div> - from Amzon",,
"Architectural Keywords: 30 Ways to Read East Asian Architects","Ching-Yue Roan",,,,"Garden City Publishers",,2008,,9867009312,9789867009319,,J2,Unknown,,Book,"Thirty architects that practice in East Asia have participated in this publication by writing a short essay that reflects their choice of a keyword which best explains their principles of architectural practice. Each of these texts has been reproduced here, accompanied by various images of each architects works, in order to create a platform for future regional exchange and communicate architectural thought to a wider public. Architects include: Kengo Kuma, Sou Fujimoto, Yo2 Architects, Seung H-sang, Hun Kim, Moongyu Choi/ Ga. A Architect and Klein Dytham Architecture. - from Amzon",,
"Architectural Visions: The Drawings of Hugh Ferriss","Jean Ferriss Leich",,,,"Whitney Library of Design/Wats",,1986,,0823070557,9780823070558,,J2,Unknown,,Book,,,
"Architecture Beyond Architecture: Creativity and Social Transformations in Islamic Cultures the 1995 Aga Khan Award for Architecture","Ismail Serageldin",,,,Wiley-Academy,,1996,,1854904434,9781854904430,,J1,Architecture,,Book,"This volume features the projects entered for the 1995 Aga Khan Award for Architecture. An introductory chapter discusses the award and explores spirituality in buildings and contemporary society. The book includes descriptions of the winning designs in Yemen, Tunisia, Pakistan, Senegal and India. Contributors include Charles Jencks, Peter Eisenman and Frank Gehry. - from Amzon","History, Regional, Architecture",
"Architecture und Stadtebau Steit 1968",,,,,ARCH,,1998,,,,,G3,Architecture,,Publication,,,"Psychogeographie Neue Disziplin Organitech"
"Architecture, Form, Space and Order","Francis D. K. Ching",,,,"Van Nostrand Reinhold",,1980,,0442215347,9780442215347,,D1,Unknown,,Book,,,
"Architecture: Meaning and Place: Selected Essays","Christian Norberg-Schulz",,,,Rizzoli,"First American Edition",1988,,0847808475,9780847808472,,J2,Unknown,,Book,"Examines the inherent meaning and language of architecture, and analyzes the representative works of Baroque, modern, and post-modern architecture - from Amzon","Criticism, History, Architecture",
Architecture@09,,,,,"BCI Asia Construction Information Pte Ltd",,2008,,,,17932319,J3,,,Journal,,,
"Architecture@09. The next generation of architecture in Asia-Pacific, India and the Middle East + New building technologies and products",,,,,"BCI Asia Construction Information Pte Ltd",1,2008,,,,17932319,J3,Architecture,,Book,,,
Architecture@10,,,,,"BCI Asia Construction Information Pte Ltd",,2009,,,,17932319,J2,,,Journal,,,
"Archive 2008: Text",,,,,UPHPRESS,,2008,,19786441,,,J3,,,Book,,,
"Archive 2014: Hierarchy. Department of Architecture Universitas Pelita Harapan",,,,,"Pelita Harapan Architecture Publication Unit",,2014,,,9789799691774,,J2,,,Book,,,
"Archive2008 Text","David Hutama",,"Glenn Hartanto",,UPHPRESS,1,2008,,,9799799103475,,J3,Architecture,,Book,,"Students works",
"Arsitek Muda Indonesia: Penjelajahan 1990-1995",,,,,,,1995,,9789505801,9789799505804,,J1,,,Book,,,
"Arsitektur dalam Bingkai Kebudayaan","Kusnaka Adimihardja; Purnama Salura",,,,"Foris Publishing",,2004,,9799652669,,,J3,,,Book,,,
"Arsitektur yang Membodohkan",,,,,"CSS Publishing",,2010,,,9789791743372,,J1,,,Book,,,
"Arsitektur, Kekuasaan, dan Nasionalitas","M. Syaom Barliana; Diah Cahyani P.",,,,METATEKSTUR,,2011,,,9786029672336,,E3,,,Book,,,
"Art & Thought 79",,,"Stefan Weidner",,"Goethe-Institut e.V.",42,2004,,,,,K1,"Islamic Studies",,Journal,,,
"Art & Thought 86","Stefan Weidner",,,,"Goethe-Institut e.V.",46,2007,,,,,K1,"Islamic Studies",,Journal,,,
"Art & Thought 86",,,,,"Goethe-Institut e.V.",,2007,,,,,K1,"Islamic Studies",,Journal,,,
"Art & Thought 93","Stefan Weidner",,,,"Goethe-Institut e.V.",50,2010,,,,,K1,"Islamic Studies",,Journal,,,
"Art & Thought 96","Stefan Weidner",,,,"Goethe-Institut e.V.",50,2011,,,,,K1,"Islamic Studies",,Journal,,,
"Art & Thought 98","Stefan Weidner",,,,"Goethe-Institut e.V.",51,2013,,,,00150932,K1,"Islamic Studies",,Journal,,,
"Art & Thought 99","Stefan Weidner",,,,"Goethe-Institut e.V.",,2013,,,,00150932,K1,"Islamic Studies",,Journal,,,
"Art and History of Assisi: Year 2000 Jubilee City",,,,,"Casa Editrice Bonechi",,1998,,2951284004,9782951284005,,D1,Unknown,,Book,"Discover Assisi’s rich history, monument and artwork with this beautiful volume. Its detailed texts and superb historical and artistic illustrations and maps provide an overview of the fascinating masterpieces of the city. <br/>This illustrated large-format book will provide you with fond memories of your last trip to Assisi or inspire you to plan your next vacation in Italy. - from Amzon","Criticism, History",
"Arus Balik - sebuah novel sejarah","Pramoedya Ananta Toer",,,,"Hasta Mitra",,1995,,979865904X,9789798659041,,H2,Unknown,,Book,"Historical novel. - from Amzon",,
"Asal Usul Masyarakat Nias. Suatu Interpretasi","P. Johannes Maria Hämmerle, OFMCap",,,,"Yayasan Pusaka Nias",,1999,,9799574900,,,C2,,,Book,,,
"Asal Usul Nama Tempat di Jakarta","Rachmat Ruchiat",,,,"Masup Jakarta",,2011,,,9786029625622,,F2,,,Book,,,
"Asia Hemisfer Baru Dunia. Pergeseran Kekuatan Global ke Timur yang Tak Terelakkan","Kishore Mahbubani",,,,"Penerbit Buku Kompas",,2011,,9789796083,,,C1,,,Book,,,
"Asia Tenggara dalam Kurun Niaga 1450-1680: Jaringan Perdagangan Global","Anthony Reid",,,,"Yayasan Pustaka Obor Indonesia",,2011,,,,,D2,"Southeast Asia",,Book,,,
"Asia Tenggara dalam Kurun Niaga 1450-1680: Tanah di bawah Angin","Anthony Reid",,,,"Yayasan Pustaka Obor Indonesia",,2011,,,9789794611081,,D2,,,Book,,,
"Asian Multilingual Thesaurus of Geosciences. English-Khmer-Chinese-Indonesian-Japanese-Korean-Lao-Malaysian-Thai-Vietnamese-French",,,"Coordinating Committee for Geoscience Programmes in East and Southeast Asia",,UNESCO,1,2006,,,,,G3,Geoscience,,Book,,,
"Asian New Urbanism","William Siew Wai Lim",,,,"Select Books Pte. Ltd.",,1998,,9814022012,9789814022019,,I3,Unknown,,Book,,,
"Assikalaibineng. Kitab Persetubuhan Bugis","Muhlis Hadrawi",,,,"Penerbit Ininnawa",,2008,,,9789799849960,,C2,,,Book,,,
"Atas Nama Pembangunan: Laporan Penggusuran Paksa di Wilayah DKI Jakarta Tahun 2015",,,,,"Lembaga Bantuan Hukum (LBH) Jakarta",,2016,,,9786027345140,,A1,"Urbanism, Indonesian City",,Book,,"penggusuran, jakarta",
"Aturan Hijau untuk Eko-Sosialisme","Jean-Luc Mélenchon",,,,Ultimus,,2013,,,9786028331487,,F2,,,Book,,,
"augusto boal",,,"Adrian Jackson",,Routledge,,1995,,0415103495,,,F3,,,Book,,,
"Backpacking Hemat ke Australia",,,,,"Baackpacker Dunia Publishing",,2009,,,9786029572506,,B3,,,Book,,,
"Bahan Tayangan Materi Sosialisasi. Undang-undang Republik Indonesia Nomor 26 Tahun 2007 Tentang Penataan Ruang",,,,,"Direktorat Jenderal Penataan Ruang Departemen Pekerjaan Umum",,2007,,,,,B2,Law,,Publication,,,
"Bahasa Sansekerta dan Bahasa Melayu","James T. Collins",,,,"Kepustakaan Populer Gramedia",1,2009,,,9789799101419,,I2,Language,,Book,,,"Naskah dan Dokumen Nusantara Seri XXVII"
"Baktiku untuk Bangsa dan Negeri","Maria Goreti",,,,"Penerbit Media Maxima",,2013,,,9786028847681,,H1,,,Book,,,
"Ballada Orang-orang Tercinta",Rendra,,,,"PT Dunia Pustaka Jaya",5,1983,,,,,I1,Literature,,Book,,,
"Ballungsraum Berlin: Raumstrukturen und Planungsvorstellungen (Beiträge und Materialien zur regionalen Geographie) (German Edition)","Frank Werner",,,,"Institut für Geographie der Technischen Universität Berlin",,1991,,3798313857,9783798313859,,E1,Unknown,,Book,"Hard to find book - from Amzon",,
